year,EBS Slope,Eastern AI
1996,NA,"11,340 (0.23)"
1997,"12,110 (0.23)",NA
1998,NA,"19,226 (0.2)"
1999,"4,192 (0.12)",NA
2000,NA,"23,634 (0.2)"
2001,"9,444 (0.24)",NA
2002,NA,"22,564 (0.17)"
2003,"11,050 (0.27)",NA
2004,NA,"19,217 (0.24)"
2005,"13,503 (0.15)",NA
2006,NA,"14,340 (0.27)"
2007,"13,135 (0.28)",NA
2008,NA,"20,005 (0.25)"
2009,"16,118 (0.22)",NA
2010,NA,"25,953 (0.27)"
2011,"28,630 (0.17)",NA
2012,NA,"28,483 (0.25)"
2013,"24,760 (0.09)",NA
2014,NA,"28,407 (0.19)"
2015,"31,782 (0.14)",NA
2016,NA,"33,776 (0.24)"
2017,"28,295 (0.14)",NA
2018,NA,"24,608 (0.21)"
2019,"26,073 (0.16)",NA
2020,NA,"18,423 (0.26)"
2021,"25,497 (0.18)",NA
2022,NA,"21,825 (0.28)"
2023,"9,605 (0.3)",NA
